
Image Name                     PID Session Name        Session#    Mem Usage
Code.exe                      2860 Console                   37     45,716 K
Code.exe                      6296 Console                   37     37,996 K
Code.exe                      7872 Console                   37    412,016 K
Code.exe                      8556 Console                   37     26,320 K
chrome.exe                   10532 Console                   37    195,160 K
chrome.exe                   18708 Console                   37     59,376 K
chrome.exe                    6612 Console                   37     39,288 K
chrome.exe                    7540 Console                   37     30,212 K
chrome.exe                   13576 Console                   37     63,700 K
chrome.exe                   11900 Console                   37    132,128 K
chrome.exe                   15956 Console                   37     18,680 K
chrome.exe                   15828 Console                   37    125,224 K
chrome.exe                   21760 Console                   37    165,188 K
chrome.exe                   14052 Console                   37     45,840 K
chrome.exe                   23464 Console                   37    172,708 K
chrome.exe                    7196 Console                   37    248,060 K
chrome.exe                   21660 Console                   37    179,392 K
pet.exe                       9160 Console                   37      6,328 K
conhost.exe                   4796 Console                   37      7,364 K
Code.exe                     19232 Console                   37     64,924 K
conhost.exe                   5096 Console                   37      6,192 K
powershell.exe               23284 Console                   37     56,608 K
Code.exe                     22100 Console                   37    729,848 K
conhost.exe                  23020 Console                   37      6,404 K
powershell.exe               19476 Console                   37     65,232 K
chrome.exe                   20288 Console                   37     89,112 K
chrome.exe                   24260 Console                   37     52,608 K
chrome.exe                   22304 Console                   37    195,252 K
chrome.exe                   20924 Console                   37     79,712 K
svchost.exe                   7120 Services                   0     25,656 K
svchost.exe                   9732 Services                   0      7,424 K
svchost.exe                  13304 Services                   0      7,856 K
python.exe                   15296 Console                   37     12,176 K
tasklist.exe                 22192 Console                   37      9,408 K
WmiPrvSE.exe                  4080 Services                   0      9,884 K
